lon,lat,lzprod,szprod,dfbot,photic,depth,Tb,Tm,Tp
1.5,-2.5,122.775003,94.30878559,19.25824141,155.9146592,4208.349343,2.23,4.892380952,20.44785
1.5,-1.5,128.6137729,102.041139,20.1734514,166.8136141,4396.34454,2.229,4.918666667,20.7994
1.5,-0.5,134.911531,111.4685178,20.94003367,175.851346,4640.640215,2.22,4.945714286,21.2389
1.5,0.5,135.5499794,112.1599846,21.08034017,197.9008588,4681.596675,2.03,4.971571429,21.69285
1.5,1.5,149.7652591,106.5222016,21.27754003,202.6814948,4655.161196,2.231,4.994857143,22.08335
1.5,2.5,173.6571325,104.4470012,22.00483186,204.8691695,4520.980869,2.269,5.015142857,22.35145
1.5,3.5,169.3066456,101.375086,22.00867455,183.8206823,4336.240237,2.286,5.033238095,22.47775
1.5,4.5,215.7603064,119.8617895,25.62959351,188.4931922,3850.066721,2.32,5.050571429,22.4779
1.5,5.5,406.6647824,263.6798674,128.0095382,167.8124149,2442.62554,3.929,5.07347619,22.28305
1.5,37.5,29.33299191,35.35901401,12.27526737,188.0047608,2748.042163,13.31,13.1287619,16.4357
1.5,38.5,18.81517335,31.06452337,50.74590541,197.6502994,934.5663062,13.266,13.30525,16.222
1.5,39.5,18.60241028,36.84944089,28.30237718,188.24775,1065.717751,13.143,13.19191667,15.9848
1.5,40.5,23.63570022,41.52228252,66.59451935,179.5304584,929.6457744,13.321,13.321,15.59885
1.5,53.5,112.1088772,60.60591896,318.9317951,78.60136587,40.46215722,10.565,NA,11.01228571
1.5,54.5,98.17252274,57.07874027,301.071862,100.7028466,42.96210549,8.585,NA,10.05
1.5,55.5,88.18983605,55.74669697,291.4765341,117.7864111,65.74109664,7.649,NA,9.101
1.5,56.5,78.09456601,55.09178624,258.7597642,141.751164,105.6864169,7.557,NA,8.7084
1.5,57.5,72.81567891,57.09200884,268.4322658,136.6963842,101.075444,7.487,NA,8.74345
1.5,58.5,70.28126166,60.6085674,269.004059,142.8675948,116.1936474,7.418,NA,8.8879
1.5,59.5,68.78594263,85.83171766,342.9070628,143.0460829,112.8560952,8.17,NA,9.0654
1.5,60.5,62.49774069,88.36343408,337.1970224,145.7202235,128.2828312,8.504,NA,9.2676
1.5,61.5,50.10207166,88.28867847,250.5235493,139.8706526,217.9260113,8.83,NA,9.5339
1.5,62.5,43.05811224,77.74771947,65.08659395,124.1853154,634.6616159,-0.255,0.4965,9.01025
1.5,63.5,40.28929158,65.83994745,12.2295137,135.0853614,1534.725656,-0.789,-0.359047619,8.5348
1.5,64.5,33.27380155,49.81564337,7.31180762,144.1961668,2581.738175,-0.833,-0.342142857,8.1269
1.5,65.5,33.23543833,41.00851006,6.11823244,144.8708918,2859.410846,-0.857,-0.297285714,7.81015
1.5,66.5,31.32508383,44.75173476,6.87857693,144.0725013,2434.783652,-0.772,-0.192333333,7.57915
1.5,67.5,28.32813389,43.27718743,6.72502124,145.7554797,2156.357072,-0.818,-0.024380952,7.37395
1.5,68.5,23.60764884,33.63405107,4.9411331,154.9600742,2884.217455,-0.816,0.161809524,7.08685
1.5,69.5,18.70199575,33.81145818,4.82706956,167.3703675,3195.612413,-0.769,0.279142857,6.59485
1.5,70.5,17.89938591,32.80072215,5.00112009,161.0437448,3178.056924,-0.753,0.257857143,5.81855
1.5,71.5,13.6630738,29.77818883,4.43127628,168.1272978,2742.826965,-0.747,0.097714286,4.7892
1.5,72.5,10.00740167,22.69350221,3.47214855,179.222871,2385.410023,-0.809,-0.128809524,3.68095
1.5,73.5,7.233650805,13.50649494,2.28642962,145.1198743,3027.167327,-0.883,-0.328857143,2.73735
1.5,74.5,5.78863754,11.08181285,1.90302316,129.5542673,3495.288315,-0.891,-0.447047619,2.1467
1.5,75.5,8.095365121,20.07089658,2.88777994,142.6245723,2679.332547,-0.884,-0.479142857,1.91595
1.5,76.5,9.307286753,26.21118657,3.65788297,149.9618614,3167.252695,-0.9,-0.449047619,1.8683
1.5,77.5,10.41847946,25.893042,3.86425693,162.0801951,3112.367252,-0.871,-0.384142857,1.83595
1.5,78.5,8.562778429,19.41718453,3.54996253,164.0422005,2379.799749,-0.842,-0.307571429,1.63665
1.5,79.5,7.662333251,14.2554818,3.11136278,141.0712329,2776.629058,-0.719,-0.237095238,1.19115
1.5,80.5,2.766998566,3.946228938,1.78779907,173.6580078,2341.289013,-0.756,-0.18847619,0.53545
1.5,81.5,0.700810971,0.832323347,1.00225801,322.7026009,1959.923265,-0.749,-0.180857143,-0.21125
2.5,-70.5,31.81143837,79.78084774,522.7210031,238.1106001,66.51681846,-1.583,NA,-1.6071
2.5,-69.5,8.392122363,30.24434317,32.48672887,187.6801978,2300.989984,0.062,0.437761905,-1.43335
2.5,-68.5,0.587691995,8.782217615,1.99525882,243.4193557,4169.271042,-0.25,0.440952381,-1.4022
2.5,-67.5,0.499293828,9.289361657,2.11002671,248.6761879,4041.31739,-0.274,0.435666667,-1.3191
2.5,-66.5,0.551515772,10.64760128,2.42670908,233.0595868,3790.271355,-0.275,0.415333333,-1.27665
2.5,-65.5,0.57312659,11.42543972,4.22842991,250.079344,2635.697701,-0.131,0.377619048,-1.2793
2.5,-64.5,0.587009877,11.0917181,4.71585889,271.6268361,2283.261728,-0.15,0.324190476,-1.31545
2.5,-63.5,0.585959263,6.361610776,1.91032197,236.821906,4361.622139,-0.4,0.263666667,-1.35725
2.5,-62.5,0.530735753,4.686193185,1.14556226,226.6466763,5365.62636,-0.37,0.207047619,-1.37845
2.5,-61.5,0.445148844,5.097942155,1.15756548,218.8862416,5366.37742,-0.406,0.165952381,-1.3604
2.5,-60.5,0.412047513,5.726977808,1.22300923,227.990109,5320.745642,-0.376,0.150619048,-1.3
2.5,-59.5,0.429989395,6.011187726,1.27385876,221.2610559,5232.027415,-0.375,0.172,-1.2012
2.5,-58.5,0.472808054,6.690935406,1.50351563,246.1819412,4717.690475,-0.458,0.241571429,-1.0754
2.5,-57.5,0.570868994,8.046646228,1.8856182,223.2281378,4123.426839,-0.386,0.365047619,-0.9249
2.5,-56.5,0.784857884,9.699002346,2.15523916,216.2994261,4044.250753,-0.335,0.537714286,-0.73085
2.5,-55.5,1.376466506,11.67704469,2.90201785,212.0796697,3363.905079,-0.269,0.742047619,-0.4509
2.5,-54.5,2.10380127,16.30866348,5.53803625,207.7669448,2443.059388,0.06,0.953,-0.03255
2.5,-53.5,2.547998429,18.33107942,4.46622168,216.6507055,2826.091086,0.206,1.261952381,0.55255
2.5,-52.5,2.743259456,14.07744657,3.73948795,213.953977,2645.018888,0.316,1.567285714,1.28755
2.5,-51.5,3.787100008,13.51717705,3.35097997,200.4049449,3027.506641,0.361,1.861380952,2.11695
2.5,-50.5,7.810316714,17.04340823,4.20990056,197.0267901,3133.187801,0.489,2.123,2.97865
2.5,-49.5,11.728781,19.34569469,4.09957242,202.8928128,3619.953867,0.528,2.33447619,3.83035
2.5,-48.5,14.3746694,20.50355006,4.00847339,211.0990232,4048.183089,0.695,2.49852381,4.6625
2.5,-47.5,15.49343678,22.05056513,3.97979571,206.8975464,4319.686086,0.687,2.637142857,5.50095
2.5,-46.5,16.94119349,23.46640625,3.95830274,207.0455237,4606.84722,0.781,2.781190476,6.4008
2.5,-45.5,18.09597186,24.13879103,4.51296103,189.7965029,4422.992085,0.733,2.949142857,7.3972
2.5,-44.5,20.47187806,26.82406962,4.90578435,192.2695776,4634.174648,1.008,3.130809524,8.4418
2.5,-43.5,24.20682392,33.92123611,6.71640881,193.5318257,4355.135655,0.951,3.296095238,9.4201
2.5,-42.5,27.73448828,41.39373774,11.34716694,188.2212793,3691.346853,1.257,3.422761905,10.25775
2.5,-41.5,36.98823479,52.7631212,9.49821654,183.399786,4054.344046,0.997,3.517857143,10.9983
2.5,-40.5,38.999224,47.2626046,7.23396582,176.7561811,4713.366087,1.072,3.614904762,11.76545
2.5,-39.5,33.31468884,38.90175583,6.4865345,173.754982,4976.33777,1.12,3.74652381,12.6467
2.5,-38.5,30.64635173,37.70911974,6.23749335,175.4441282,5089.213833,1.102,3.923285714,13.6399
2.5,-37.5,25.6820117,32.98258012,5.98956238,182.052225,5091.213424,1.11,4.132666667,14.67205
2.5,-36.5,23.13340025,31.91191683,6.00638148,195.3624038,5134.56256,1.123,4.350809524,15.6553
2.5,-35.5,20.6747357,31.54515657,6.03175482,218.4328973,5010.595243,1.126,4.553904762,16.5156
2.5,-34.5,20.1662287,31.40261806,6.22527507,225.7810842,4892.61322,1.093,4.720666667,17.2078
2.5,-33.5,19.81113255,32.09763228,7.44752436,232.9681805,4216.253098,0.979,4.831095238,17.7207
2.5,-32.5,21.31866536,32.49499759,8.21565409,237.5198147,3601.728505,1.037,4.868761905,18.08
2.5,-31.5,22.66393693,31.83994101,9.37932101,240.674837,2714.617536,2.515,4.829666667,18.3333
